Compound,Chemical Formula,Compounds - proteins that bind compound,Compounds - enzymes activated or inhibited,Pathways of compound,Reactions that consume compound,Reactions that produce compound,SMILES,MW
CPD0-1684,C14H38N4,NA,SPERMACTRAN-CPLX,NA,NA,NA,CC[N+]CCC[N+]CCCC[N+]CCC[N+]CC,262.3096472
CPD-19395,C9H14N3O6,NA,NA,NA,NA,RXN-18092 // RXN-18093,C(NC(CCC(C(=O)[O-])[N+])=O)C(NCC(=O)[O-])=O,262.1039103
CPD-9051,C6H15NO8P,NA,L-GLN-FRUCT-6-P-AMINOTRANS-CPLX // GLUCOSAMINE-6-P-DEAMIN-CPLX,NA,NA,NA,C(O)C([N+])C(C(C(COP(=O)([O-])[O-])O)O)O,262.069178
CPD0-2367,C9H11N2O6F,NA,NA,NA,NA,NA,C(O)C1(OC(C(O)C(O)1)N2(C=C(F)C(=O)NC(=O)2)),262.0601143
CPD-3729,C9H10NO6P,NA,NA,NA,NA,NA,C(C(CC1(C=CC(OP([O-])(=O)[O-])=CC=1))[N+])(=O)[O-],262.0480487
CPD-3728,C9H10NO6P,NA,ORNDECARBOX-BIO-CPLX,NA,RXN-14534,NA,C(C(CC1(C=CC(OP([O-])([O-])=O)=CC=1))[N+])(=O)[O-],262.0480487
MANNITOL-1P,C6H13O9P,NA,NA,MANNIDEG-PWY // HEXITOLDEGSUPER-PWY,MANNITOL-1-PHOSPHATASE-RXN // MANNPDEHYDROG-RXN,TRANS-RXN-156,C(C(C(C(C(COP([O-])([O-])=O)O)O)O)O)O,262.0453686
D-SORBITOL-6-P,C6H13O9P,NA,NA,SORBDEG-PWY // HEXITOLDEGSUPER-PWY,SORBITOL-6-PHOSPHATASE-RXN // SORB6PDEHYDROG-RXN,TRANS-RXN-169,C(C(C(C(C(COP([O-])([O-])=O)O)O)O)O)O,262.0453686
GALACTITOL-1-PHOSPHATE,C6H13O9P,NA,NA,GALACTITOLCAT-PWY // HEXITOLDEGSUPER-PWY,1.1.1.251-RXN,TRANS-RXN-161,C(OP(=O)([O-])[O-])C(O)C(O)C(O)C(O)CO,262.0453686
HYDROXY-METHYL-BUTENYL-DIP,C5H9O8P2,NA,NA,NONMEVIPP-PWY,RXN-15878,ISPH2-RXN // RXN0-884,CC(CO)=CCOP(OP([O-])(=O)[O-])(=O)[O-],262.0007404
CPD-15157,C5H10NO9P,NA,SORB6PDEHYDROG-CPLX // MANNPISOM-MONOMER,NA,NA,NA,C(=O)(NO)C(O)C(O)C(O)COP([O-])(=O)[O-],261.0249675
CPD0-1891,C10H17N3O5,NA,GSP-CPLX,NA,NA,NA,CC(C(=O)NCC=O)NC(=O)CCC([N+])C([O-])=O,260.1246457
CPD-722,C10H15N2O4S,NA,NA,NA,TRANS-RXN0-475 // RXN0-6277,TRANS-RXN0-475,C1(S(=O)C(CCCCC(=O)[O-])[CH]2(NC(=O)N[CH]12)),260.0830777
CPD-13469,C6H13NO8P,NA,NA,GLUAMCAT-PWY // GLCMANNANAUT-PWY,GLUCOSAMINE-6-P-DEAMIN-RXN,NA,C(OP([O-])(=O)[O-])C1(OC(O)C([N+])C(O)C(O)1),260.053528
GLUCOSAMINE-1P,C6H13NO8P,NA,NA,PWY0-1261 // UDPNAGSYN-PWY // OANTIGEN-PWY,2.3.1.157-RXN,5.4.2.10-RXN // RXN0-7139,C(O)C1(OC(OP(=O)([O-])[O-])C([N+])C(O)C(O)1),260.053528
CPD0-1646,C6H13NO8P,NA,NA,NA,NA,NA,C(C1(C(C(C(C(OP(=O)([O-])[O-])O1)[N+])O)O))O,260.053528
CPD0-2030,C6H13NO8P,NA,NA,NA,RXN-14136,NA,C(O)C(O)COP([O-])(OCC([N+])C(=O)[O-])=O,260.053528
2-THIOURIDINE,C9H12N2O5S,NA,NA,NA,NA,NA,C(O)C1(OC(C(O)C(O)1)N2(C=CC(=O)NC(=S)2)),260.0466922
CPD0-1342,C9H11N2O5S,NA,NA,NA,NA,NA,C(O)C1(OC(CC(O)1)N2(C=C([S-])C(=O)NC(=O)2)),260.0466922
FRUCTOSE-6P,C6H11O9P,NA,NAG6PDEACET-CPLX // CPLX0-230 // 6PFK-1-CPX // GLNE-MONOMER,NONOXIPENT-PWY // PENTOSE-P-PWY // MANNCAT-PWY // GLUCONEO-PWY // PWY-5659 // COLANSYN-PWY // MANNIDEG-PWY // PWY0-44 // GLUAMCAT-PWY // GLCMANNANAUT-PWY // UDPNAGSYN-PWY // OANTIGEN-PWY // GLYCOLYSIS // GLYCOLYSIS-TCA-GLYOX-BYPASS // GLYCOLYSIS-E-D // PWY-5484 // HEXITOLDEGSUPER-PWY,RXN0-313 // L-GLN-FRUCT-6-P-AMINOTRANS-RXN // 6PFRUCTPHOS-RXN,GLUCOSAMINE-6-P-DEAMIN-RXN // RXN-14812 // FRUCTOKINASE-RXN // RXN0-304 // MANNPDEHYDROG-RXN // PGLUCISOM-RXN // MANNPISOM-RXN // TRANSALDOL-RXN // F16BDEPHOS-RXN // 2TRANSKETO-RXN,C(OP(=O)([O-])[O-])C1(OC(O)(CO)C(O)C(O)1),260.0297185
CPD-18720,C6H11O9P,NA,NA,NA,NA,NA,C(OP(=O)([O-])[O-])C1(OC(CO)(O)C(O)C(O)1),260.0297185
D-ALLOSE-6-PHOSPHATE,C6H11O9P,NA,NA,PWY0-44,RXN0-303,ALLOSE-KINASE-RXN,C(OP([O-])(=O)[O-])C(O)C(O)C(O)C(O)[CH]=O,260.0297185
TAGATOSE-6-PHOSPHATE,C6H11O9P,NA,NA,GALACTITOLCAT-PWY // HEXITOLDEGSUPER-PWY,RXN-16992 // TAGAKIN-RXN,NA,C(C1(OC(C(C1O)O)(O)CO))OP([O-])([O-])=O,260.0297185
CPD-15826,C6H11O9P,NA,NA,GALACTITOLCAT-PWY // HEXITOLDEGSUPER-PWY,NA,1.1.1.251-RXN // RXN-16992,C(O)C(=O)C(O)C(O)C(O)COP([O-])(=O)[O-],260.0297185
CPD-15828,C6H11O9P,NA,NA,NA,NA,NA,C(O)C(=O)C(O)C(O)C(O)COP([O-])(=O)[O-],260.0297185
MANNOSE-1P,C6H11O9P,NA,NA,PWY-5659 // COLANSYN-PWY,RXN-17725 // 2.7.7.13-RXN // PHOSMANMUT-RXN,RXN0-5108,C(O)C1(OC(OP(=O)([O-])[O-])C(O)C(O)C(O)1),260.0297185
D-ALLULOSE-6-PHOSPHATE,C6H11O9P,NA,NA,PWY0-44,RXN0-304,RXN0-303,C(OP(=O)([O-])[O-])C(O)C(O)C(O)C(=O)CO,260.0297185
GLC-1-P,C6H11O9P,NA,PHOSPHOGLUCMUT-MONOMER,PWY-7315 // ECASYN-PWY // DTDPRHAMSYN-PWY // OANTIGEN-PWY // GALACTMETAB-PWY // PWY-7343 // COLANSYN-PWY // GLYCOGENSYNTH-PWY // GLYCOCAT-PWY // GLUCOSE1PMETAB-PWY,GLUCOSE-1-PHOSPHAT-RXN // RXN-16997 // RXN-10639 // DTDPGLUCOSEPP-RXN // GLUC1PURIDYLTRANS-RXN // GLUC1PADENYLTRANS-RXN // PHOSPHOGLUCMUT-RXN,RXN-9025 // RXN-14286 // RXN-14285 // RXN-14284 // GALACTURIDYLYLTRANS-RXN // RXN0-5184 // RXN0-5182 // GLYCOPHOSPHORYL-RXN,C(O)C1(OC(OP(=O)([O-])[O-])C(O)C(O)C(O)1),260.0297185
GALACTOSE-1P,C6H11O9P,NA,NA,GALACTMETAB-PWY,GALACTURIDYLYLTRANS-RXN,GALACTOKIN-RXN,C(O)C1(OC(OP(=O)([O-])[O-])C(O)C(O)C(O)1),260.0297185
CPD-6746,C6H11O9P,NA,NA,NA,RXN-7253,RXN-17493,C1(O)(C(O)C(O)C(OP([O-])([O-])=O)C(O)C(O)1),260.0297185
D-MYO-INOSITOL-1-MONOPHOSPHATE,C6H11O9P,NA,NA,NA,RXN0-5408,NA,C1(O)(C(O)C(O)C(OP([O-])(=O)[O-])C(O)C(O)1),260.0297185
FRU1P,C6H11O9P,PC00061,NA,PWY0-1314,R136-RXN // RXN0-5186 // 1PFRUCTPHOSN-RXN,NA,C(O)C1(C(O)C(O)C(COP([O-])([O-])=O)(O)O1),260.0297185
CPD-16154,C6H11O9P,NA,NA,NA,NA,NA,C(O)C1(C(O)C(O)C(COP([O-])([O-])=O)(O)O1),260.0297185
ALPHA-GLC-6-P,C6H11O9P,NA,NA,NA,RXN-15312 // GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN,NA,C(OP(=O)([O-])[O-])C1(OC(O)C(O)C(O)C(O)1),260.0297185
GLC-6-P,C6H11O9P,NA,F16B-CPLX // MALIC-NADP-CPLX,PWY0-521,GLUCOSE-6-PHOSPHATASE-RXN // UHPC-RXN,RXN-16996 // RXN0-6994 // RXN0-963 // GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN // RXN0-5297 // RXN0-5295 // BETA-PHOSPHOGLUCOMUTASE-RXN,C(C1(OC(C(C(C1O)O)O)O))OP([O-])([O-])=O,260.0297185
CPD-448,C6H11O9P,NA,NA,NA,RXN-16995 // BETA-PHOSPHOGLUCOMUTASE-RXN,RXN-10639,C(O)C1(OC(C(C(C1O)O)O)OP([O-])([O-])=O),260.0297185
CPD-15711,C6H11O9P,NA,NA,NA,NA,RXN-14815,C(OP(=O)([O-])[O-])C1(OC(O)C(O)C(O)C(O)1),260.0297185
MANNOSE-6P,C6H11O9P,NA,NA,NA,RXN-14815,NA,C(OP(=O)([O-])[O-])C1(OC(O)C(O)C(O)C(O)1),260.0297185
CPD0-1116,C6H11O9P,NA,NA,NA,NA,NA,C(OP([O-])(=O)[O-])C(=O)C(O)C(O)C(O)CO,260.0297185
CPD-444,C6H11O7PS,NA,NA,NA,NA,NA,CSCC1(OC(OP([O-])(=O)[O-])C(C1O)O),260.01196
CPD-1063,C6H11O7PS,NA,NA,NA,NA,NA,CSCC(O)C(O)C(=O)COP([O-])(=O)[O-],260.01196
CPD-7975,C16H21NO2,NA,NITRATREDUCTZ-CPLX // NITRATREDUCTA-CPLX // CYT-O-UBIOX-CPLX // FUMARATE-REDUCTASE,NA,NA,NA,CCCCCCCC1(=CC(C2(C=CC=CC(N1O)=2))=O),259.1572289
CPD0-1685,C13H28N3O2,NA,SPERMACTRAN-CPLX,NA,NA,NA,CCC(=O)NCCCC[N+]CCCNC(=O)CC,258.2181522
CPD0-920,C14H15N3O2,NA,TRPS-CPLX,NA,NA,NA,CC([C-]1(OC(NC)=[N+]C(=O)1))C3(=CNC2(=C(C=CC=C2)3)),258.1242518
L-1-GLYCERO-PHOSPHORYLCHOLINE,C8H20NO6P,NA,NA,NA,NA,RXN-16225 // LYSOPHOSPHOLIPASE-RXN,C([N+](C)(C)C)COP([O-])(=O)OCC(O)CO,258.1106489
CPD0-1372,C7H14O8P,NA,AROB-MONOMER,NA,NA,NA,C(P(=O)(O)[O-])C1(C(O)C(O)CC(C(O)O)O1),258.050454
2-KETO-3-DEOXY-6-P-GLUCONATE,C6H8O9P,EG12860-MONOMER,CPLX0-7615,ENTNER-DOUDOROFF-PWY // GLYCOLYSIS-E-D // GALACTUROCAT-PWY // PWY-7242 // GLUCUROCAT-PWY // GALACT-GLUCUROCAT-PWY,RXN0-7159 // KDPGALDOL-RXN,DEOXYGLUCONOKIN-RXN // PGLUCONDEHYDRAT-RXN,C(=O)([O-])C(=O)CC(O)C(O)COP([O-])(=O)[O-],258.0140685
DEHYDRO-DEOXY-GALACTONATE-PHOSPHATE,C6H8O9P,NA,NA,GALACTCAT-PWY,DEHYDDEOXPHOSGALACT-ALDOL-RXN,DEHYDDEOXGALACTKIN-RXN,C(OP(=O)([O-])[O-])C(O)C(O)CC(=O)C([O-])=O,258.0140685
D-6-P-GLUCONO-DELTA-LACTONE,C6H9O9P,NA,NA,OXIDATIVEPENT-PWY // PENTOSE-P-PWY // GLYCOLYSIS-E-D,6PGLUCONOLACT-RXN,GLU6PDEHYDROG-RXN,C(OP([O-])(=O)[O-])C1(C(O)C(O)C(O)C(=O)O1),258.0140685
P3I,O10P3,NA,S-ADENMETSYN-CPLX,COBALSYN-PWY // PWY-6268 // PWY-6703,TRIPHOSPHATASE-RXN,RXN0-5507 // COBALADENOSYLTRANS-RXN // BTUR2-RXN // DGTPTRIPHYDRO-RXN,[O-]P(OP(=O)(OP([O-])(=O)[O-])[O-])([O-])=O,257.9095559
CPD0-2101,C9H15N5O4,NA,NA,PWY0-1433,RXN0-6367,NA,C1(NC2(N=C(N)NC(=O)C(NC1C(O)C(O)CO)=2)),257.112404
CPD0-2496,C10H15N3O5,NA,NA,NA,NA,NA,CNC2(=NC(N(C1(C(C(C(O1)CO)O)O))C=C2)=O),257.1011706
CPD0-2495,C10H15N3O5,NA,NA,NA,NA,NA,CC2(C(=NC(N(C1(C(C(C(O1)CO)O)O))C=2)=O)N),257.1011706
PALMITATE,C16H31O2,NA,PYRUVOXID-CPLX,NA,NA,NA,CCCCCCCCCCCCCCCC([O-])=O,256.2402303
CPD0-1668,C12H16O6,NA,AMYLOMALT-MONOMER,NA,NA,NA,C(O)C2(C(O)C(O)C(O)C(OC1(C=CC=CC=1))O2),256.0946882
CPD0-1667,C12H16O6,NA,AMYLOMALT-MONOMER,NA,NA,NA,C(O)C2(C(O)C(O)C(O)C(OC1(C=CC=CC=1))O2),256.0946882
CPD-9117,C12H16O6,NA,NA,NA,NA,NA,C([OH])C2(C([OH])C([OH])C([OH])C(OC1(=CC=CC=C1))O2),256.0946882
L-ARGININE-P,C6H14N4O5P,NA,NA,NA,NA,NA,C(CCC([N+])C(=O)[O-])NC(=[N+])NP(=O)([O-])[O-],256.0936562
CPD-3740,C7H14N2O4S2,NA,NA,NA,TRANS-RXN0-508,TRANS-RXN0-508,C(C(C(=O)[O-])[N+])SCSCC(C(=O)[O-])[N+],256.0551484
L-ASCORBATE-6-PHOSPHATE,C6H6O9P,G7854-MONOMER,NA,PWY0-301,RXN0-4322 // RXN0-5214,RXN0-2461,C(OP([O-])(=O)[O-])C(O)C1(C([O-])=C(O)C(=O)O1),255.9984184
CPD0-1438,H7N2O8P3,NA,S-ADENMETSYN-CPLX,NA,NA,NA,N(P(NP(=O)(O)O)(O)=O)P(O)(=O)O,255.9415247
NICOTINAMIDE_RIBOSE,C11H15N2O5,NA,NA,PWY3O-4106 // NAD-BIOSYNTHESIS-II,TRANS-RXN0-481 // RIBOSYLNICOTINAMIDE-KINASE-RXN,RXN0-7092 // RXN-5841 // TRANS-RXN0-481,C(O)C1(C(O)C(O)C(O1)[N+]2(C=CC=C(C(=O)N)C=2)),255.0980966
DIHYDRO-NEO-PTERIN,C9H13N5O4,NA,NA,PWY-6147 // PWY-6612 // ALL-CHORISMATE-PWY,RXN-10856 // H2NEOPTERINALDOL-RXN,DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN,C1(NC2(N=C(N)NC(=O)C(N=C1C(O)C(O)CO)=2)),255.0967539
CPD-11770,C9H13N5O4,NA,NA,PWY0-1433,NA,RXN-10856 // RXN0-6368 // RXN0-6367,C1(NC2(N=C(N)NC(=O)C(N=C1C(O)C(O)CO)=2)),255.0967539
CPD0-2051,C9H13N5O4,NA,NA,NA,NA,NA,C(O)C(O)C(O)C2(N=C1(C(=O)N=C(N)N=C1NC2)),255.0967539
CPD0-1916,C11H14N2O3S,NA,NA,NA,NA,NA,CC(C(NC(SC1(C=CC=CC=1))C([O-])=O)=O)[N+],255.080338
N-DELTA-PHOSPHONOACETYL-L-ORNITHINE,C7H14N2O6P,NA,ORNCARBAMTRANSFERF-CPLX // ORNCARBAMTRANSFERI-CPLX,NA,NA,NA,C(P(=O)(O)[O-])C(NCCCC([N+])C([O-])=O)=O,255.0745978
CPD-12164,C11H12NO4P,NA,TRYPSYN-APROTEIN,NA,NA,NA,C(OP([O-])(=O)[O-])CCC1(=CNC2(=C1C=CC=C2)),255.0660445
CPD0-1957,C10H8NO5S,NA,NA,NA,NA,NA,C(S(=O)(=O)[O-])CN1(C(=O)C2(C(C(=O)1)=CC=CC=2)),255.0201431
CPD0-1617,C6H7NO8P,NA,ASPCARBTRANS-CPLX,NA,NA,NA,C(NC(C([O-])=O)CC(=O)[O-])(=O)CP(O)(=O)[O-],255.0144028
CPD-9245,C16H29O2,NA,NA,PWY-6282 // PWY-6284,RXN0-7248,RXN-9550,CCCCCCC=CCCCCCCCC(=O)[O-],254.2245802
SHIKIMATE-5P,C7H8O8P,NA,NA,PWY-6163 // ARO-PWY // COMPLETE-ARO-PWY // ALL-CHORISMATE-PWY,2.5.1.19-RXN,SHIKIMATE-KINASE-RXN,C(=O)([O-])C1(=CC(OP(=O)([O-])[O-])C(O)C(O)C1),254.0191538
CPD0-2061,C14H20O4,NA,NA,NA,NA,NA,CC(C)=CCC1(=C(C)C(O)=C(OC)C(OC)=C(O)1),252.1361591
CPD0-1520,C9H17NO7,NA,NA,NA,NA,NA,CC(OC1(C([N+])C(OC(CO)C1O)O))C(=O)[O-],252.1083269
DEOXYINOSINE,C10H12N4O4,NA,NA,PWY-7179 // PWY0-1297,DEOXYINOPHOSPHOR-RXN // TRANS-RXN-108E,ADDALT-RXN // TRANS-RXN-108E,C(O)C1(OC(CC(O)1)N3(C=NC2(=C(O)N=CN=C23))),252.0858549
CH33ADO,C10H13N5O3,NA,BIOTIN-SYN-CPLX,HEMESYN2-PWY // PWY0-1415 // PWY-6890 // PWY-6892 // THISYN-PWY // PWY0-501 // PWY0-1275 // PWY0-1507 // BIOTIN-BIOSYNTHESIS-PWY // PWY-7805 // PWY0-1533 // PWY-6823,RXN0-6550,RNTRACTIV-RXN // RXN-8340 // RXN0-6734 // RXN-17956 // RXN-17473 // RXN-17472 // RXN0-5063 // RXN-14480 // 2.8.1.6-RXN // RXN0-6366 // RXN0-949 // RXN-11586 // RXN0-7007 // 1.97.1.4-A-RXN // RXN-11319 // PYRIMSYN1-RXN // HEMN-RXN // TDCEACT1-RXN,CC1(OC(C(O)C(O)1)N3(C=NC2(C(N)=NC=NC=23))),251.1018393
DEOXYADENOSINE,C10H13N5O3,NA,NA,PWY-7179 // PWY0-1297,RXN-15140 // ADDALT-RXN // DEOXYADENPHOSPHOR-RXN // TRANS-RXN-108C,RXN-14524 // RXN-14161 // TRANS-RXN-108C,C(O)C1(OC(CC(O)1)N3(C=NC2(=C(N)N=CN=C23))),251.1018393
CPD-10129,C10H13N5O3,NA,NAD-SYNTH-CPLX,NA,NA,NA,C(C3(CC(O)C(N2(C1(=C(C(=NC=N1)N)N=C2)))O3))O,251.1018393
L-GAMMA-GLUTAMYLCYSTEINE,C8H13N2O5S,NA,NA,GLUTATHIONESYN-PWY,GLUTATHIONE-SYN-RXN,GLUTCYSLIG-RXN,C(S)C(C([O-])=O)NC(=O)CCC([N+])C([O-])=O,251.0701673
CPD-7988,C16H26O2,NA,4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER,NA,NA,NA,CC(C)(C)CC(C)(C)C1(C=CC(OCCO)=CC=1),250.1932801
CPD0-1118,C14H18O4,NA,NA,NA,NA,NA,CC(C)=CCC1(C(C(OC)=C(OC)C(=O)C(C)=1)=O),250.1205091
TUNGSTATE,O4W,NA,ALKAPHOSPHA-CPLX // FUMARASE-C,NA,NA,NA,O=[W](=O)([O-])[O-],249.9462412
DEOXYMORPHOLINOFRUCTOSE,C10H19NO6,NA,NA,NA,NA,NA,C1(N(CCOC1)CC2(O)(OC(CO)C(O)C(O)2)),249.1212373
CPD0-1583,C12H14N4Cl,NA,DIHYDROFOLATEREDUCT-MONOMER,NA,NA,NA,CCC2(=[N+]C(N)=NC(N)=C(C1(C=CC(Cl)=CC=1))2),249.0906992
S-ACETYLDIHYDROLIPOAMIDE,C10H19NO2S2,NA,NA,NA,NA,PYRUVATEDECARB-RXN // DIHYDLIPACETRANS-RXN,CC(SC(CCS)CCCCC(N)=O)=O,249.0857202
PYRIDOXAMINE-5P,C8H12N2O5P,NA,PYROXALTRANSAM-MONOMER,PLPSAL-PWY // PWY0-845,RXN0-7074 // PMPOXI-RXN,RXN0-5240 // PYRAMKIN-RXN,CC1(C(=C(C(COP([O-])([O-])=O)=CN=1)C[N+])O),249.0640331
PYRIDOXINE-5P,C8H10NO6P,NA,PDXH-CPLX,PYRIDOXSYN-PWY // PLPSAL-PWY // PWY0-845,RXN-14181 // PNPOXI-RXN,PDXJ-RXN // PNKIN-RXN,CC1(=NC=C(COP([O-])(=O)[O-])C(=C(O)1)CO),249.0402236
CPD0-1524,C9H10O6S,NA,CHORISMUTPREPHENDEHYDRAT-CPLX,NA,NA,NA,C1(S(=O)CCC(CC(=O)C(=O)[O-])(C([O-])=O)C1),248.0354588
CPD0-1650,C4H9NO7P2,NA,GLUTAMINESYN-OLIGOMER,NA,NA,NA,C(P(=O)(CP(=O)(O)[O-])[O-])C(C(=O)[O-])[N+],248.0088998
CPD0-1269,C8H9O4Br,NA,GLUTDECARBOXB-CPLX // GLUTDECARBOXA-CPLX,NA,NA,NA,C(O)(O)C1(=CC(C(O)O)=C(Br)C=C1),247.9684214
N1-ACETYLSPERMINE,C12H31N4O,NA,NA,NA,NA,NA,CC(=O)NCCC[N+]CCCC[N+]CCC[N+],247.2497866
LINAMARIN,C10H17NO6,NA,NA,NA,NA,NA,CC(C)(C#N)OC1(OC(CO)C(O)C(O)C(O)1),247.1055873
N2-SUCCINYLGLUTAMATE,C9H10NO7,NA,NA,AST-PWY,SUCCGLUDESUCC-RXN,SUCCGLUALDDEHYD-RXN,C(CCC(=O)[O-])(NC(CCC(=O)[O-])C(=O)[O-])=O,247.0692018
PYRIDOXAL_PHOSPHATE,C8H8NO6P,NA,GLUC1PADENYLTRANS-CPLX // ERYTH4PDEHYDROG-CPLX // PDXH-CPLX // L-GLN-FRUCT-6-P-AMINOTRANS-CPLX // L-GLN-FRUCT-6-P-AMINOTRANS-CPLX // AROA-MONOMER // PYROXALTRANSAM-MONOMER // OHMETHYLBILANESYN-MONOMER // PDXK-CPLX // PDXH-CPLX,PYRIDOXSYN-PWY // PLPSAL-PWY // PWY0-845,3.1.3.74-RXN // RXN0-5240,PMPOXI-RXN // RXN0-7074 // PNPOXI-RXN // PYRIDOXKIN-RXN,CC1(N=CC(=C(C=1O)C=O)COP(=O)([O-])[O-]),247.0245736
CPD-5662,C10H17N2O3S,NA,NA,PWY0-1507 // BIOTIN-BIOSYNTHESIS-PWY,RXN-17473,RXN-17472,C(C1(C(NC(N1)=O)CCCCCC(=O)[O-]))S,246.1038131
CPD0-1311,C9H11N2O5F,NA,CYTIDEAM-CPLX,NA,NA,NA,C2(=NC(=O)N(C1(OC(CO)C(O)C(O)1))C=C(F)2),246.0651997
CPD0-1286,C6H13O8P,NA,RHAMNULPALDOL-CPLX,NA,NA,NA,CC(C(C(C(COP([O-])(=O)[O-])O)O)O)O,246.050454
GLYCEROPHOSPHOGLYCEROL,C6H14O8P,NA,NA,NA,RXN0-7122 // RXN-14073,NA,C(C(COP(OCC(CO)O)([O-])=O)O)O,246.050454
CPD0-1525,C9H8O6S,NA,CHORISMUTPREPHENDEHYDRAT-CPLX,NA,NA,NA,C1(S(=O)CCC(CC(=O)C(=O)[O-])(C([O-])=O)C=1),246.0198087
CPD-18734,C5H8O9P,NA,SORB6PDEHYDROG-CPLX,NA,NA,NA,C(=O)([O-])C(O)C(O)C(O)COP(=O)([O-])[O-],246.0140685
DELTA3-ISOPENTENYL-PP,C5H9O7P2,NA,NA,PWY-5783 // PWY-5838 // UBISYN-PWY // ALL-CHORISMATE-PWY // PWY-5785 // NONMEVIPP-PWY // PWY-5123 // POLYISOPRENSYN-PWY,ISPH2-RXN // RXN-8992 // RXN-8999 // GPPSYN-RXN // FPPSYN-RXN // IPPISOM-RXN,NA,C=C(C)CCOP([O-])(=O)OP([O-])(=O)[O-],246.0058258
CPD-4211,C5H9O7P2,NA,NA,NONMEVIPP-PWY // PWY-5123 // POLYISOPRENSYN-PWY,RXN0-884 // RXN0-6274 // GPPSYN-RXN,IPPISOM-RXN,CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-],246.0058258
CPD0-1545,C9H12N2O4S,NA,EG12015-MONOMER,NA,NA,NA,CC(O)C1(C(=O)N2(C(C(=O)[O-])=C(C[N+])SC12)),245.0596026
CPD0-1477,C14H16N2O2,NA,NA,NA,NA,NA,COC2(=C(N)C=CC(C1(C=CC(N)=C(OC)C=1))=C2),244.1211778
CPD0-1322,C9H14N3O5,NA,UDK-MONOMER // UDK-MONOMER,NA,NA,NA,C([N+])C1(OC(C(O)C(O)1)N2(C=CC(=O)NC(=O)2)),244.0933456
BIOTIN,C10H15N2O3S,NA,BIOTIN-CARBOXYL-CPLX,PWY0-1507 // BIOTIN-BIOSYNTHESIS-PWY // PWY0-1264,BIOTINLIG-RXN // TRANS-RXN0-240 // RXN0-7192,RXN-17473 // TRANS-RXN0-240 // 2.8.1.6-RXN // RXN0-6277,C1(SC(CCCCC(=O)[O-])[CH]2(NC(=O)N[CH]12)),244.0881631
URIDINE,C9H12N2O6,NA,APHA-CPLX,PWY-7193 // PWY-6556 // PWY-7196 // PWY0-163 // PWY0-1295,URIDINEKIN-RXN // URIDINE-NUCLEOSIDASE-RXN // TRANS-RXN-108I // URKI-RXN // URPHOS-RXN,RXN-14510 // RXN-14115 // RXN-14025 // CYTIDEAM2-RXN // TRANS-RXN-108I,C(O)C1(OC(C(O)C(O)1)N2(C=CC(=O)NC(=O)2)),244.0695361
CPD-497,C9H12N2O6,NA,NA,PWY-6019,TRANS-RXN0-538 // PSEUDOURIDINE-KINASE-RXN,TRANS-RXN0-538,C1(NC(=O)NC(=O)C=1C2(OC(CO)C(O)C(O)2)),244.0695361
2-DEOXYGLUCOSE-6-PHOSPHATE,C6H11O8P,NA,NA,NA,NA,NA,C(CC(C(C(COP([O-])([O-])=O)O)O)O)=O,244.0348039
2-DEOXY-D-GLUCOSE-6-PHOSPHATE,C6H11O8P,NA,NA,NA,3.1.3.68-RXN,TRANS-RXN0-540,C(OP([O-])(=O)[O-])C1(OC(O)CC(O)C(O)1),244.0348039
FUCULOSE-1P,C6H11O8P,PD00444,NA,FUCCAT-PWY // FUC-RHAMCAT-PWY,RXN0-5307 // FUCPALDOL-RXN,FUCULOKIN-RXN,CC(C(C(C(COP([O-])(=O)[O-])=O)O)O)O,244.0348039
RHAMNULOSE-1P,C6H11O8P,NA,NA,RHAMCAT-PWY // FUC-RHAMCAT-PWY,RHAMNULPALDOL-RXN,RHAMNULOKIN-RXN,CC(C(C(C(COP([O-])(=O)[O-])=O)O)O)O,244.0348039
CPD-10247,C6H11O8S,NA,NA,PWY-7446,TRANS-RXN0-580 // RXN-15296,RXN-17700 // RXN-17701 // TRANS-RXN0-580,C(C1(OC(O)C(O)C(O)C(O)1))S(=O)(=O)[O-],244.0252881
CPD-16501,C6H11O8S,NA,NA,PWY-7446,RXN-15297,RXN-15296,C(S([O-])(=O)=O)C1(OC(O)(CO)C(O)C(O)1),244.0252881
CYTIDINE,C9H13N3O5,CPLX0-7740,NA,PWY-6556 // PWY0-1295 // PWY-7193 // PWY-7196 // PWY-7195 // PWY0-163,RXN0-6409 // CYTIDEAM2-RXN // CYTIKIN-RXN // RXN0-361 // TRANS-RXN-108B // CYTIDINEKIN-RXN,RXN-18241 // RXN-14026 // RXN-14511 // RXN-14090 // TRANS-RXN-108B,C(C2(C(C(C(N1(C(N=C(C=C1)N)=O))O2)O)O))O,243.0855205
CPD0-2355,C16H36N,NA,CFA-CPLX,NA,NA,NA,CCCCCCCC[N+]CCCCCCCC,242.2847752
